Xpath,Nome,Definição,Tipo de Dado,Tamanho,Formato,Valores possíveis,Obrigatório
paidInstalments,paidInstalments,Quantidade total de parcelas pagas do contrato referente à Modalidade de Crédito informada.,number,,,,False
contractOutstandingBalance,contractOutstandingBalance,"Valor necessário para o cliente liquidar a dívida, ou seja, este campo deve ser preenchido com o saldo devedor atualizado descrito no DDC (Documento Descritivo de Crédito).",string,,double,,False
releases,releases,Lista dos pagamentos realizados no período.,array,,,,False
