Xpath,Nome,Definição,Tipo de Dado,Tamanho,Formato,Valores possíveis,Obrigatório
currency,currency,"Moeda referente ao valor da garantia, segundo modelo ISO-4217. p.ex. 'BRL'. Todos os valores monetários informados estão representados com a moeda vigente do Brasil",string,,,,False
warrantyAmount,warrantyAmount,"Valor original da garantia. Expresso em valor monetário com no mínimo 2 casas e no máximo 4 casas decimais.

[Restrição]  Para casos em que warrantyType for igual a ""GARANTIA_FIDEJUSSORIA"" o valor da garantia corresponde a uma porcentagem do total garantido. 
Dessa forma, os casos de garantia fidejussória para os quais não é possível determinar um valor monetário para a garantia devem ser preenchidos com 0.00.
",string,,double,,False
